rank,artist,album,genre,review
1,Dj Python,Mas Amable,Electronic,"Genius dembow rhythm science from DJ Python on his 2nd album for Anthony Naples’ and Jenny Slattery’s Incienso. Total mind-melter this one, easily Python’s best material since his 'Dulce Compañia’ debut - we can tell you now we’re gonna be banging on about this record all fucking year."
2,Beatrice Dillon,Workaround,Electronic,"‘Workaround’ is the singular debut album proper by Beatrice Dillon; an eminent rhythm fiend whose productions and DJ sets are prized for her patient, fluid grasp of space, texture and devilish, syncopated UK club styles."
3,Nazar,Guerrilla,Electronic,"One of the strongest debut albums we've heard in years, Nazar’s ‘Guerrilla’ is a record about the Angolan civil war that we reckon will come to be one of the defining albums of 2020 Relaying the tragedy and terror of his family’s experience of war, Nazar uses a highly distinctive sound design palette and manacled grasp of what he calls “rough kuduro” rhythms to bring listeners deep into his mindset."
4,Cindy Lee,What's Tonight To Eternity,Indie / Alternative,"Very strong slab of haunted ‘60s pop themes and keeling synth noise from Canada’s Pat Flegel aka Cindy Lee, formerly of Canadian indie-pop heroes Women, now sounding like a spell concocted by Panda Bear, Forest Swords, Johnny Jewel and Dean Hurley’s Trouble. Check the samples and trust your ears, it’s a bewt! “For Patrick Flegel, Cindy Lee is more than just a recording music project."
5,Lea Bertucci,Acoustic Shadows,Modern Classical / Ambient,"Properly engrossing and cataclysmic widescreen recordings of brass and percussion booming around a bridge in Köln on this wonder from NYC composer/sound designer Lea Bertucci for London’s emergent experimental music platform, SA Recordings. It sounds like a panoramic blade-runneresque fantasy, one of the most satisfying experimental records we've heard in a long time - huge recommendation."
6,Nídia,Não Fales Nela Que A Mentes,Electronic,"One of 2020’s most distinctive new dance and electronic soul LPs, ‘Não Fales Nela Que A Mentes’ sees Kuduro auteur Nídia come into her own with a strikingly fresh, deep and original showcase of Afro-Portuguese dance music. TIPPED!!!!!!"
7,Laila Sakini,Vivienne,Electronic,"Another record that arrived just on the cusp of strange times™ and sold out before anyone really had a chance to notice, Laila Sakini’s  ‘Vivienne’ is an intimate collection of threadbare songs for piano, voice and effects that evoke a tremendous sense of melancholy -  like a set of half-remembered earworms drifting into view decades later."
8,Duma,Duma,Electronic,"Lights out, game over. Duma win 2020. Breathtaking by any measure, Kenyan grindcore band Duma’s unparalleled debut of blast beats, sky-clawing synth noise and scarred larynx vocals is one of the mightiest things you’ll hear all year - a huge RIYL Nkisi, Woid, Senyawa..."
9,Cs + Kreme,Snoopy,Electronic,"An absolute treasure of an album, CS + Kreme’s debut is an early contender for 2020’s best - a quietly seductive, deeply romantic and stealthily addictive long player in the most classic, enduring sense.  ’Snoopy’ has got under our skin with its opiated elegance and spellbinding hooks over the precious few months we’ve had the pleasure of spending in its company."
10,Various Artists,Documenting Sound Series,Unknown,No review available
11,Lucy Liyou,Welfare,Electronic,"Dead uncanny new music from Lucy Liyou, a Philadelphia-based ambient/collage artist creating absorbing musical stories based on Korean folk-opera and “nuances in Quotidian experience” - think Nozomu Matsumoto meets Klein at Arca’s gaff and you’ve nearly got a grasp on this one."
12,Fuji||||||||||Ta,iki,Electronic,"As we approach the end of 2020, we thought we'd shine a light on a handful of releases we reckon should have had a bit more attention; albums that might have fallen between the cracks for some of you, but which have become missing links between different scenes and feelings for us over the duration of this cursed year. First up is FUJI||||||||||TA, whose iki album offered solace and space for contemplation with one of the most unusual, moving recordings we’ve heard in recent years."
13,Mica Levi,Ruff Dog,Indie / Alternative,"Has Mica Levi ever made a bad record? This, again, shifts the template to a sort of scuzzed dreampop somewhere between MBV and that Chopped & Screwed hookup with the London Sinfonietta that really is one of our favourite records of all time. Has Mica Levi ever made a bad record? Nah."
14,Terrence Dixon,"From the Far Future, Pt. 3",Techno / House,"Detroit visionary Terrence Dixon scans stellar new horizons on the awe-inspiring 3rd chapter of his most cherished, foundational and inspiring album series. Roughly once a decade since 2000 the pioneering Afrofuturist has offered a new landmark of deep, electronic music, and ‘From the Far Future, Pt. 3’ stakes one of 2020’s - and probably the next decade’s - leading examples of Detroit techno at its furthest, most experimental limits."
15,Michael J. Blood,Introducing Michael J. Blood,Techno / House,"For our money, an everlasting classic - one that finally made it to wax at more or less exactly the moment clubs were shuttered earlier this year."
16,Hanne Lippard,Work,Electronic,"This is a brilliantly weird and hypnotic record, featuring pretty much nothing but the voice of conceptual artist Hanne Lippard reading a variety of texts typical of our digital age - things like autoresponders, FAQ’s, social media posts, bot-generated spam mail etc (or as she calls it ‘degenerate, or “b-language”) as a continuation of her ongoing investigation of the differences between the spoken and the written word."
17,Bill Nace,Both,Electronic,"Killer, beautifully scorched noise guitar and amp séances for the connoisseurs right here from improv catalyst Bill Nace (Body/Head) at his most crudely tactile and feverishly slow-burning. Highly recommended if you're into Wolf Eyes, Dilloway, Nate Young, Sonic Youth."
18,Christina Vantzou,Multi Natural,Modern Classical / Ambient,"For a hallucinogenic experience through sound, 'Multi Natural’ was perhaps the most engrossing record we heard this year; a full length of art-house, time-dilating chamber music that’s both serene and un-real, following its own peculiar logic like some extended dream sequence excavated and recalled from the deepest recesses of the mind."
19,Flora Yin-Wong,Holy Palm,Electronic,"‘Holy Palm’ is the debut album by Flora Yin-Wong, an artist, writer, DJ and journalist, summoning the ghosts of her life in a masterful meditation on metaphysics, superstition and memory. It’s part collage, part audio diary, part reflection; a sort of private ritual purification that comes highly recommended if you’re into works by Mark Gergis, Philip Corner, Mark Leckey and Hildegard Westerkamp."
20,Beatriz Ferreyra,Echos+,Electronic,"After a standout Recollections GRM side in 2015, Argentina’s Beatriz Ferreyra places over half a century of avant-garde knowledge and practice at the service of an utterly enchanting new collection for Room40, ranging from elegiac vocal works to apocalyptic concrète composition..."
21,Hilary Woods,Birthmarks,Folk / Roots,"Gorgeous sophomore LP of gothic folk from Hilary Woods, aka erstwhile bassist with JJ72. Really strong Lynchian vibes on this one - aided by exceptionally dank and creaking production by Lasse Marhaug."
22,Pretty Sneaky,Pretty Sneaky LP,Electronic,"This lot have released 5 x 12”s anonymously over the last 3 years via Hardwax and there’s no info about them anywhere, pretty sneaky. They now land on Mana, a label so esoteric it has a flowchart on its website showing you how to get from Luc Ferrari to Nico Jaar in one short leap. There are 4 long tracks, one per side, each clocking in at 15 mins and each taking time to expand into being."
23,Spivak,Μετά Το Ρέιβ,Electronic,"Gorgeous debut LP by Maria Spivak, a rawly expressive set of atmospheric, night-time synth-pop romancers channelling mystic vibes from Lena Platonos to HTRK and The Other People Place - very special stuff, indeed."
