rank,artist,album,genre,review
1,Prurient,Frozen Niagara Falls,Electronic,"By Pitchfork's reckoning Dominick Fernow's discography now stands at over 150 releases long - so it isn't without much consideration that we say that 'Frozen Niagara Falls' is his defining, most exploratory and ultimately rewarding work to date."
2,Jlin,Dark Energy,Jungle / Footwork,"Jlin breaks thru the Chicago footwork ranks with one of the scene's most fascinating, essential mutations in 'Dark Energy', co-presented by Planet µ and Jamie Kuedo's very promising new Knives label. It's quite possibly the most distinctive contribution to footwork since the RP Boo album and Rashad's jungle splices, and, in such a fast-moving (quite literally) and active scene, that's gotta be saying something."
3,Mark Fell & Gábor Lázár,The Neurobiology of Moral Decision Making,Electronic,"Mark Fell and Gábor Lázár ratchet the game with their razor-sharp debut collaboration, 'The Neurobiology of Moral Decision Making'. If you're into Errorsmith, Lorenzo Senni, Autechre, Actress or SND; we'd say this one's as essential as they come. The duo have colluded on a set of ten tracks, ranging from short synapse bursts thru to an uncannily emotive 12 minute masterpiece on the closing side."
4,Oneohtrix Point Never,Garden of Delete,Electronic,"Oneohtrix Point Never strafes myriad hyperstitious structures and patterns in pursuit of a futurist nostalgia across 'Garden of Delete', his scudding, delirious 2nd album for Warp and 10th solo since 2007."
5,Theo Burt,Gloss,Electronic,"Originally written circa 2009/2010, Gloss is an album that was never really intended for public consumption but, thanks to Lorenzo Senni's efforts, is now presented here in all it's hugely individual glory."
6,Kara-Lis Coverdale & Lxv,Sirens,Electronic,'Sirens' is an utterly captivating side of alien ambient composition by Kara-Lis Coverdale and LXV (a.k.a. David Sutton) for Mexico City's quietly ace Umor Rex label.
7,Jenny Hval,"Apocalypse, girl",Indie / Alternative,"Norway's most precious, provocative pop export presents the barbed strokes of 'Apocalypse, Girl' - her 3rd album - with Brooklyn's Sacred Bones."
8,Stephen O'Malley,Gruidés,Modern Classical / Ambient,"Sunn O)))’s Stephen O’Malley delivers an incredible solo work for Demdike Stare’s DDS imprint, recorded together with French 35-piece improv orchestra ONCEIM. The dark interpreter, Stephen O'Malley ov Sunn 0))), presents his towering debut orchestral composition 'Guidés'; commissioned by French 35-piece improv orchestra ONCEIM - l'Orchestre de Nouvelles Créations, Expérimentations et Improvisation Musicales - and released thru Demdike Stare's DDS label."
9,Eleh / Tara Jane O'Neil,Split,Electronic,"In keeping with tradition (this time last year they dropped that insanely brilliant Else Marie Pade collection), Important drop one of the most quietly crucial albums of the year with this rich, rewarding split album from two of the label’s most notable artists: Eleh and Tara Jane O’Neil. Sound sculptures and gongs by Harry Bertoia unite both sides of the album."
10,Jefre Cantu-Ledesma,A Year with 13 Moons,Electronic,"Root Strata founder, Jefre Cantu-Ledesma scales supernal heights of dream-pop and shoegazing noise bliss with 'A Year With 13 Moons' for Mexican Summer. We'll get it out right now - this is easily Jefre's magnum opus; a consolidation of all that we already loved about the incendiary romance of his work, boosted by a renewed sense of wonder and a catalytic clash of pop pangs fighting against avant garde instincts."
