rank,artist,album,review_url,review,html
1,Lana Del Rey,Norman Fucking Rockwell!,https://pitchfork.com/reviews/albums/lana-del-rey-norman-fucking-rockwell/,"After eight years, five albums, and complete political and cultural upheaval, Lana Del Rey has risen to her greatest musical heights. When she first crash-landed into the public consciousness in 2011, breathily cooing about video games and blue jeans, the artist formerly known as Lizzy Grant was engulfed in heated debates over her authenticity, whether or not she was in control of her creative output, and whether she deserved her success at all.","<iframe src=""https://open.spotify.com/embed/album/5XpEKORZ4y6OrCZSKsi46A"" width=""300"" height=""80"" frameborder=""0"" allowtransparency=""true"" allow=""encrypted-media""></iframe>"
2,FKA twigs,MAGDALENE,https://pitchfork.com/reviews/albums/fka-twigs-magdalene/,"FKA twigs’ second album plays like an unsparing breakup manual for a distant species, some glamorous alien race presumably as brilliant at everything as she is: singing, producing, writing, dancing, seducing, exorcising, empathizing. MAGDALENE is an overwhelming collection of intimacies, a generous feat of communication that turns her specific pain (not all of us have to get over a breakup with a celluloid vampire) into communion.","<iframe src=""https://open.spotify.com/embed/album/3DMR3yM5crnt1dG9lLaMTZ"" width=""300"" height=""80"" frameborder=""0"" allowtransparency=""true"" allow=""encrypted-media""></iframe>"
3,Big Thief,U.F.O.F.,https://pitchfork.com/reviews/albums/big-thief-ufof/,"Like white light refracted through a prism to reveal an array of colors, ordinary words and phrases—wrinkled hands, silver hair, clear water—take on new meanings when sung by Big Thief’s Adrianne Lenker. U.F.O.F, the first of two stellar albums the band released this year, sounds at once exploratory and wise, as if they are both seeing the world with fresh wonder while explaining the way things have always been.","<iframe src=""https://open.spotify.com/embed/album/0sLnNGW4PzCYFQ4Pn7aVCP"" width=""300"" height=""80"" frameborder=""0"" allowtransparency=""true"" allow=""encrypted-media""></iframe>"
4,Angel Olsen,All Mirrors,https://pitchfork.com/reviews/albums/angel-olsen-all-mirrors/,"With each record, Angel Olsen’s music grows grander and darker, and on All Mirrors, she spreads her leathery wings and nearly blots out the sky. Her most dramatic release yet, All Mirrors telegraphs to us in Andrew Lloyd Webber-sized gestures: When Olsen's voice ascends an octave on “Lark,” the accompanying drum resounds like a cannon aimed at a fortress, and the dive-bombing glissandos from the orchestra mimic debris streaming around her.","<iframe src=""https://open.spotify.com/embed/album/0RedX0LZkGUFoRwFntAaI0"" width=""300"" height=""80"" frameborder=""0"" allowtransparency=""true"" allow=""encrypted-media""></iframe>"
5,Solange,When I Get Home,https://pitchfork.com/reviews/albums/solange-when-i-get-home/,"In Solange’s vision of Houston, the streetlights are hazy, the liquor is dark, and the air is humming with dreams. The singer’s fourth album, When I Get Home, is a collection of reveries on family, history, and blackness—a love letter to her hometown. She finds solace in the frequent repetition of phrases and calls on powerful forebears for guidance, be they Alice Coltrane, Steve Reich, or DJ Screw.","<iframe src=""https://open.spotify.com/embed/album/4WF4HvVT7VjGnVjxjoCR6w"" width=""300"" height=""80"" frameborder=""0"" allowtransparency=""true"" allow=""encrypted-media""></iframe>"
6,Bad Bunny,X 100PRE,https://pitchfork.com/reviews/albums/bad-bunny-x-100pre/,"By the time Bad Bunny dropped his debut LP on Christmas Eve 2018, the Puerto Rican star had already demonstrated fluency in the trap, R&B, and reggaetón sounds that dominate urbano music through a deluge of hit singles and features. But X 100PRE was the first time all of those musical sides—and more—were presented in a singular statement.","<iframe src=""https://open.spotify.com/embed/album/7CjJb2mikwAWA1V6kewFBF"" width=""300"" height=""80"" frameborder=""0"" allowtransparency=""true"" allow=""encrypted-media""></iframe>"
7,Helado Negro,This Is How You Smile,https://pitchfork.com/reviews/albums/helado-negro-this-is-how-you-smile/,"The most striking aspect of Helado Negro’s This Is How You Smile isn’t the dreamy production, with its lush acoustic guitars wound around intimately rendered drums. It’s not the field recordings that populate interludes like “November 7.” Nor is it the album’s introspective closer, “My Name Is for My Friends,” which splices ambient sounds with brief, cryptic dialogue.","<iframe src=""https://open.spotify.com/embed/album/17LsQV3q3cgTBrat3D5JSv"" width=""300"" height=""80"" frameborder=""0"" allowtransparency=""true"" allow=""encrypted-media""></iframe>"
8,Fennesz,Agora,https://pitchfork.com/reviews/albums/fennesz-agora/,"The magic of Christian Fennesz’s work comes in the way he turns the minimal into the maximal, expanding tiny moments into huge sonic environments. When making Agora, his first solo album in five years, the experimental ambient producer was forced to work minimally—after losing his studio space, he was relegated to using headphones in a bedroom—and he translated these restrictions into one of his most oversized works yet.","<iframe src=""https://open.spotify.com/embed/album/7JpOsq1F2A9aPr2fdacsOk"" width=""300"" height=""80"" frameborder=""0"" allowtransparency=""true"" allow=""encrypted-media""></iframe>"
9,Weyes Blood,Titanic Rising,https://pitchfork.com/reviews/albums/weyes-blood-titanic-rising/,"Titanic Rising is vintage-sounding music for people who don’t want to live in the past. On her fourth album as Weyes Blood, L.A. singer-songwriter Natalie Mering coos laughably old-fashioned lines like “treat me right, I’m still a good man’s daughter” while referencing the cosmic loneliness of modern dating. You can parse out the weight, hope, and humor of Mering’s poetry, or you can sit back and let her dulcet tone and excellent taste in George Harrison-esque slide guitar wash over you.","<iframe src=""https://open.spotify.com/embed/album/0Cuqhgy8vm96JEkBY3polk"" width=""300"" height=""80"" frameborder=""0"" allowtransparency=""true"" allow=""encrypted-media""></iframe>"
10,Purple Mountains,Purple Mountains,https://pitchfork.com/reviews/albums/purple-mountains-purple-mountains/,"We’re used to confronting a work of crushing sadness after the artist who made it has reached a better place. Stories of depression and despair are easier to take with full knowledge of the happy ending. Purple Mountains, the final album of new music from David Berman, released 26 days before he took his own life at age 52, offers no such luxury.","<iframe src=""https://open.spotify.com/embed/album/6YM4MpYgz6BhIeqQkxp3u4"" width=""300"" height=""80"" frameborder=""0"" allowtransparency=""true"" allow=""encrypted-media""></iframe>"
