rank,artist,album,review
1,Fiona Apple,Fetch the Bolt Cutters,"Fifteen years ago, on the title track to Extraordinary Machine, Fiona Apple declared, “I still only travel by foot, and by foot, it’s a slow climb.” She worked her way up to the clear heights of Fetch the Bolt Cutters over the course of the last half-decade or so, largely at her L.A. home alongside trusted bandmates and friends and a small shelter’s worth of barking dogs."
2,Waxahatchee,Saint Cloud,"From her early punk recordings alongside sister Allison to her quietly devastating solo albums, Katie Crutchfield is always steadfast in her truth. With Saint Cloud, Crutchfield’s fifth album as Waxahatchee, she climbs to solid ground, emerging from the storm self-assured. The album reflects her newfound ease, all big skies, wide open spaces, and Americana twang."
3,Moses Sumney,græ,"The first half of græ, Moses Sumney’s tour de force sophomore album, came out just before lockdown; the second was released a few months later, after its audience had been humbled by the soft brutality of isolation, the brutal clarity of wandering our own inner landscapes day after day. If only we could make like Sumney and turn self-interrogation into a singular kind of art."
4,Phoebe Bridgers,Punisher,"Phoebe Bridgers will tweet about eating ass with one hand and crush your heart with the other. The droll, phantom-like singer writes music for faithless burnouts who still want to believe: lost souls clinging to astrology and fucked-up intimacy, striving to get by in a brutal universe with no pre-ordained meaning."
5,Perfume Genius,Set My Heart on Fire Immediately,"In a year of isolation and unattainable intimacies, Perfume Genius’ Mike Hadreas is our poet laureate of constant longing. Set My Heart on Fire Immediately, his fifth album, celebrates the endless possibility and vulnerability of the body without losing sight of the fundamental absurdity of the human ordeal."
6,Bob Dylan,Rough and Rowdy Ways,"If nothing else, Bob Dylan’s 39th studio album should forever put to rest the idea that the storied songwriter is losing his voice. On his first collection of original material in eight years, he sounds unusually attuned to the suggestive power of his craggy instrument, using small changes of inflection to convey wry self-mockery, roaring prowess, and a certain uneasy nostalgia."
7,Yves Tumor,Heaven to a Tortured Mind,"If 2018’s soul-affirming Safe in the Hands of Love established Yves Tumor as a preeminent experimentalist, then the pleasure-seeking and approachable Heaven to a Tortured Mind is the sound of them strutting into the role of a rock god. On their fourth album, Tumor is smoldering and romantic, expressing their appetite through squalling guitar solos, slinky basslines, and an ensemble of guest singers who match their lusty fervor beat for beat."
8,Haim,Women in Music Pt. III,"Three songs into Haim’s sharpest album yet, Danielle is behind the wheel in her beloved Los Angeles with a Joni Mitchell classic on the stereo, “screaming every word to ‘Both Sides Now.’” How lost must one feel to shout “I really don’t know life at all” alone in the car first thing in the morning? That’s the precise kind of biting honesty that Alana, Este, and Danielle brilliantly amplify on Women in Music Pt. III."
9,Jessie Ware,What’s Your Pleasure?,"On her fourth studio album, UK singer-songwriter Jessie Ware conjures the erotic frisson of the cruisy dancefloors we aren’t permitted to congregrate on while the global pandemic rages on."
10,Bad Bunny,YHLQMDLG,"On YHLQMDLG, aka Yo Hago Lo Que Me Da La Gana or I Do Whatever I Want, Puerto Rican superstar Bad Bunny honors his home island’s past of sweaty marquesina throwdowns with a score of perreo bangers for the new age. His nostalgia for reggaetón’s mixtape-era reaches its peak on “Safaera,” a crowning jewel of a record featuring elder statesmen Jowell & Randy and Ñengo Flow, with Bad Bunny’s subterranean voice bridging the past and present."
11,Adrianne Lenker,songs / instrumentals,"When Big Thief scrapped their international tour this year, Adrianne Lenker found a world of her own in a cabin near the Berkshires of Western Massachusetts. A pair of albums that work as a brilliant whole, songs and instrumentals capture the ambiance of the woods, the anguish of a breakup, and an autumn’s harvest of keen-eyed musings, at once lofty and visceral. She wants to hear a lover blinking; she sees a horse’s eyes rotting."
12,Lil Uzi Vert,Eternal Atake,"On Eternal Atake, Lil Uzi Vert employs an extraterrestrial concept that should be kitschy—in the album’s trailer, he’s jetted into the cosmos in a saucer the size of a city block by a humanoid cult—but instead lends the LP an intergalactic sheen. Across the hour-long odyssey, Uzi hops between kaleidoscopic new worlds: one where it sounds like he’s skipping across a Sega Genesis circuit board, another where he’s hosting an ethereal party alongside a turnt choir."
13,The Microphones,Microphones in 2020,"On Microphones in 2020, Phil Elverum revived his earliest moniker to ponder his formative years across a single, wistful, 45-minute song. In the companion short film, he accompanies his thoughts by flipping through hundreds of old photos, adding bittersweet visual cues to the rambling narrative. He isn’t pining for the good old days; he is reacclimating himself in the present, poking holes in the very idea of nostalgia and showing how memories live on."
